,adult,budget,id,imdb_id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,vote_average,vote_count,collectionName,Thriller,TV Movie,Documentary,Mystery,Fantasy,Drama,Romance,Animation,History,Comedy,Adventure,War,Foreign,Crime,Family,Western,Science Fiction,Music,Action,Horror,homepagepresent,z_score_popularity,outliers,score,producer1,producer2,Totallanguages,profit
0,0.0,30000000.0,862,tt0114709,en,toy story,"led by woody, andy's toys live happily in his room until andy's birthday brings buzz lightyear onto the scene. afraid of losing his place in andy's heart, woody plots against buzz. but when circumstances separate buzz and woody from their owner, the duo eventually learns to put aside their differences.",8.62,1995-10-30,373554033,81.0,Released,7.7,5415.0,Toy Story Collection,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3.1664164812674755,True,41695.5,pixar animation studios,no producer,1,11.4518011
1,0.0,65000000.0,8844,tt0113497,en,jumanji,"when siblings judy and peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite alan -- an adult who's been trapped inside the game for 26 years -- into their living room. alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",8.62,1995-12-15,262797249,104.0,Released,6.9,2413.0,independent Movie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3456335701239546,False,16649.7,tristar pictures,teitler film,2,3.0430346
3,0.0,16000000.0,31357,tt0114885,en,waiting to exhale,"cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. friends and confidants vannah, bernie, glo and robin talk it all out, determined to find a better way to breathe.",3.859495,1995-12-22,81452156,127.0,Released,6.1,34.0,independent Movie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15594152837433242,False,207.39999999999998,twentieth century fox film corporation,no producer,1,4.09075975
5,0.0,60000000.0,949,tt0113277,en,heat,"obsessive master thief, neil mccauley leads a top-notch crew on various insane heists throughout los angeles while a mentally unstable detective, vincent hanna pursues him without rest. each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",8.62,1995-12-15,187436818,170.0,Released,7.7,1886.0,independent Movie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.496992114262497,False,14522.2,regency enterprises,forward pass,2,2.123946966666667
8,0.0,35000000.0,9091,tt0114576,en,sudden death,"international action superstar jean claude van damme teams with powers boothe in a tension-packed, suspense thriller, set against the back-drop of a stanley cup game.van damme portrays a father whose daughter is suddenly taken during a championship hockey game. with the captors demanding a billion dollars by game's end, van damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",5.23158,1995-12-22,64350171,106.0,Released,5.5,174.0,independent Movie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.38431136394983145,False,957.0,universal pictures,imperial entertainment,1,0.8385763142857143
9,0.0,58000000.0,710,tt0113189,en,goldeneye,james bond must unmask the mysterious head of the janus syndicate and prevent the leader from utilizing the goldeneye weapons system to inflict devastating revenge on britain.,8.62,1995-11-16,352194034,130.0,Released,6.6,1194.0,James Bond Collection,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.9579110769237287,False,7880.4,united artists,eon productions,3,5.072310931034483
10,0.0,62000000.0,9087,tt0112346,en,the american president,"widowed u.s. president andrew shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is sydney ellen wade, a washington lobbyist. but shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.318445,1995-11-17,107879496,106.0,Released,6.5,199.0,independent Movie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.5652091810258615,False,1293.5,columbia pictures,castle rock entertainment,1,0.7399918709677419
13,0.0,44000000.0,10858,tt0113987,en,nixon,"an all-star cast powers this epic look at american president richard m. nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. spanning his troubled boyhood in california to the shocking watergate scandal that would end his presidency.",5.092,1995-12-22,13681765,192.0,Released,7.1,72.0,independent Movie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.361079667918151,False,511.2,hollywood pictures,cinergi pictures entertainment,1,-0.6890507954545455
14,0.0,98000000.0,1408,tt0112760,en,cutthroat island,"morgan adams and her slave, william shaw, are on a quest to recover the three portions of a treasure map. unfortunately, the final portion is held by her murderous uncle, dawg. her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. this is made yet more difficult by the efforts of the british crown to end her pirate raids.",7.284477,1995-12-22,10017322,119.0,Released,5.7,137.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7259955528619143,False,780.9,le studio canal+,laurence mark productions,2,-0.8977824285714285
15,0.0,52000000.0,524,tt0112641,en,casino,the life of the gambling paradise – las vegas – and its dark mafia underbelly.,8.62,1995-11-22,116112375,178.0,Released,7.8,1343.0,independent Movie,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.200834243140846,False,10475.4,universal pictures,légende entreprises,1,1.2329302884615385
